stated in	source
Mitsubishi Electric	Mitsubishi Electric Corporation
Nissin Food Products	Nissin Foods
Canon Inc.	Canon Inc.
Canon Inc.	Canon
Duquesne University	Duquesne University of the Holy Spirit
Accident Investigation Board Norway	AIBN
Accident Investigation Board Norway	Statens havarikommisjon for transport
Accident Investigation Board Norway	SHT
East India Company	Governor and Company of Merchants of London trading into the East Indies
East India Company	Honourable East India Company
Österreichische Bundesbahnen	ÖBB
DSB	Danske Statsbaner
Take-Two Interactive	Take-Two
Take-Two Interactive	Take2
Take-Two Interactive	T2
2K Games	2K
Flickr	flickr
Ilmenau University of Technology	TU Ilmenau
University of Chicago	Chicago University
University of Chicago	U of C
University of Chicago	UChicago
University of Bologna	Università di Bologna
University of Bologna	UNIBO
ZTE	ZTE Corporation
ZTE	Zhongxing Telecommunication Equipment Corporation
University of Central Florida	UCF
Intelligent Systems	Intelligent Systems Co., Ltd.
University of Heidelberg	Heidelberg University
University of Heidelberg	Ruprecht-Karls-Universität Heidelberg
Humboldt University of Berlin	Humboldt-Universität zu Berlin
Humboldt University of Berlin	Universitas Humboldtiana Berolinensis
Xerox	Xerox Corporation Ltd.
Xerox	XRX
Lindt & Sprüngli	Lindt & Sprüngli AG
Lindt & Sprüngli	Lindt
University of Tübingen	Eberhard Karls University
Total S.A.	Total
Universidade Estadual de Feira de Santana	UEFS
Universidade Estadual de Feira de Santana	State University of Feira de Santana
Volkswagen Group	Volkswagen Aktiengesellschaft
Deutsche Post	Deutsche Post AG
Deutsche Post	Deutsche Post DHL
Deutsche Post	Deutsche Post World Net
Vattenfall	Vattenfall AB
Dresden University of Technology	TU Dresden
Dresden University of Technology	Technische Universität Dresden
AEG	Allgemeine Elektricitäts-Gesellschaft Aktiengesellschaft
AEG	AEG-Telefunken
AEG	AEG Aktiengesellschaft
AEG	AEG Hausgeräte GmbH
3M	Minnesota Mining and Manufacturing Company
07th Expansion	FUJIX
Anna University	Anna University of Technology
Anna University	College of Engineering, Guindy
Fox Broadcasting Company	Fox
Fox Broadcasting Company	Fox Network
Fox Broadcasting Company	FOX
Mozilla Corporation	MoCo
Liechtenstein Bus	Liemobil
Mercedes AMG High Performance Powertrains	Mercedes-Benz HighPerformanceEngines
Hebrew University of Jerusalem	Hebrew University
Hebrew University of Jerusalem	HUJI
Kemco	Kemco Corporation
Kemco	Kotobuki System Co., Ltd.
University of California, Los Angeles	UCLA
University of California, Los Angeles	UC Los Angeles
The Catholic University of America	Catholic University of America
Suzuki	Suzuki Motor Corporation
NVIDIA	Nvidia Corporation
NVIDIA	NVIDIA Corporation
EMI	EMI Group Ltd.
EMI	EMI Music
Université de Versailles Saint-Quentin-en-Yvelines	Versailles Saint-Quentin-en-Yvelines University
Tata Motors	Tata Motors Ltd
Tata Motors	Tata Motors Limited
Tata Motors	Tata Engineering and Locomotive Company
Tata Motors	TELCO
Imperial College London	Imperial College of Science, Technology and Medicine
Zenith	Zenith SA
Istanbul University	İstanbul Üniversitesi
UBS	UBS AG
Texas Instruments	Texas Instruments Inc.
Queen Mary, University of London	Queen Mary University of London
Queen Mary, University of London	QM
Queen Mary, University of London	QMUL
Queen Mary, University of London	Queen Mary and Westfield College
Alpina	Alpina Burkard Bovensiepen
Commodore International	Commodore
Commodore International	Commodore Business Machines
NHK	Nippon Hōsō Kyōkai
NHK	Japan Broadcasting Corporation
NHK	日本放送協会
NHK	Nippon Hoso Kyokai
Antonov	OKB-153
Antonov	Kiev Mechanical Plant
Antonov	Research and Design Bureau named after O.K. Antonov
ATI Technologies	ATI Technologies Inc.
ATI Technologies	ATI
University of St Andrews	St Andrews University
Complutense University of Madrid	Universidad Complutense de Madrid
DuPont	E. I. du Pont de Nemours and Company
Stockholm University	University of Stockholm
Utrecht University	UU
Utrecht University	Universiteit Utrecht
Utrecht University	RUU
Utrecht University	Rijksuniversiteit Utrecht
Zott	The Gourmet Dairy
University of Manchester	The University of Manchester
Zynga	Zynga Inc.
James Madison University	JMU
James Madison University	James Madison
James Madison University	Madison
BNFL	British Nuclear Fuels Limited
École polytechnique fédérale de Lausanne	EPFL
École polytechnique fédérale de Lausanne	ETHL
University of California, Santa Barbara	UC Santa Barbara
University of California, Santa Barbara	UCSB
Brandstätter Group	Geobra Brandstätter
National University of the Littoral	Universidad Nacional del Litoral
National University of the Littoral	UNL
Bristol-Myers Squibb	BMS
Humble Bundle Inc.	Humble Bundles
Michigan State University	MSU
Électricité de France	Electricité de France
Électricité de France	Electricite de france
Électricité de France	Electricite de France
Électricité de France	Hispaelec
Électricité de France	Électricité de France (EDF)
Électricité de France	EdF
Électricité de France	EDF Group
Électricité de France	Electricite de France (EDF)
AJS	AJS Motorcycles Ltd
Acclaim Studios Austin	Iguana Entertainment
Pondicherry University	Puducherry University
Bloomingdale's	Bloomingdales
ABC Studios	Touchstone Television
ABC Studios	ABC Television Studios
ABC Studios	ABC Television Studio
ABC Studios	American Broadcasting Company Studios
ABC Studios	Touchstone Pictures and Television
Aerotransport	Aktiebolaget Aerotransport
Aerotransport	AB Aerotransport
AB Motorfabriken i Göteborg	AB Motorfabriken i Goteborg
AB Motorfabriken i Göteborg	AB Motorfabriken i Goeteborg
ACE Aviation Holdings	ACE Aviation Holdings Inc.
ACE Aviation Holdings	ACE Aviation
ACE Aviation Holdings	ACE Aviation Holdings Inc
ACMAT	ACMAT TPK
ACMAT	VLRA
ACTEW Corporation	ACTEW
The ADT Corporation	ADT fire and security
The ADT Corporation	ADTfire & security
The ADT Corporation	Adt fire and security
The ADT Corporation	Adt fire & security
The ADT Corporation	American District Telegraph
The ADT Corporation	ADT, Inc
The ADT Corporation	ADT Security Services
AES Corporation	AES Corp.
AES Corporation	The AES Corporation
AES Corporation	AES Corp
AES Corporation	AES Trust III
AG Vulcan Stettin	Stettiner Maschinenbau AG Vulcan
AG Vulcan Stettin	Vulcan Werft
AG Vulcan Stettin	AG Vulcan
AG Vulcan Stettin	Vulcan AG
AG Vulcan Stettin	Stettiner Vulcan AG
AG Vulcan Stettin	A.G. Vulcan
AG Vulcan Stettin	Vulcan Stettin
AG Vulcan Stettin	Aktien-Gesellschaft Vulcan Stettin
AG Vulcan Stettin	A.G. Vulcan Stettin
AIDA Cruises	Aida cruises
AIDA Cruises	Aida Cruises
ÖAF	Austro-Fiat
ÖAF	Österreichische Austro-Fiat
ÖAF	Österreichische Automobil-Fabrik
AIK banka Niš	AIK BANKA
AIK banka Niš	AIK bank
AIK banka Niš	AIK Bank Nis
AIK banka Niš	AIK Bank Niš
AIK banka Niš	AIK Banka Niš
AIK banka Niš	AIK banka Nis
AIK banka Niš	AIK Banka Nis
Öhlins	Ohlins
Öhlins	Öhlins Racing AB
Öhlins	Ohlins Racing AB
AMEC	AMEC plc
AMEC	Amec plc
AMEC	Amec
AMEC	AMEC-Spie
AMR Corporation	AMR Eagle Holdings
AMR Corporation	AMR Corp
AMR Corporation	AMR Corp.
AMR Corporation	AMRCorp
AMR Corporation	AMR OnBoard
AMR Corporation	OnBoard
AMR Corporation	AMR Holding Co.
AMR Corporation	Amr Corporation
AMR Corporation	AMR Corporation Delaware Pines
AM General	Am General
Ardex	Ardex
Ardex	ARDEX
Ardex	ARDEX GmbH
ASML Holding	ASM Lithography
ATB Financial	Alberta Treasury Branch
ATB Financial	Alberta Treasury Branches
ATEbank	ATE Bank
ATEbank	Agricultural Bank of Greece
AWD Holding	Allgemeiner Wirtschaftsdienst
A Bathing Ape	Bathing Ape
A Bathing Ape	Bape
A Bathing Ape	BAPE (bape-sta)
A Bathing Ape	Bapes
A Bathing Ape	BAPE
A Bathing Ape	Bathin apes
A Bathing Ape	Bathing apes
Aastra Technologies	Aastra
Aastra Technologies	Aastra Technologies Ltd.
Aastra Technologies	Aastra Technologies Limited
Abbott Laboratories	Abbott Labs
Abbott Laboratories	Abbott Laboratories, Inc.
Abbott Laboratories	Ross Laboratories
Abbott Laboratories	Abbott Pharmaceuticals
Abbott Laboratories	Abbott Nutrition
Abbott Laboratories	I-Stat
Abbott Laboratories	I-STAT
Abbott Laboratories	Abbott Molecular
Abbott Laboratories	PediaSure
Abbott Laboratories	Isomil
Abbott Laboratories	Abbot Laboratories
Abbott Laboratories	AbbVie
Ohio State University	Ohio State
Ohio State University	OSU
Ohio State University	The Ohio State University
Seiko	Seiko Holdings Corporation
Kraft Foods	Kraft Foods Group Inc.
Raidió Teilifís Éireann	RTE
Raidió Teilifís Éireann	RTÉ
Baan Corporation	Baan
Moscow Sun Yat-sen University	Sun Yat-sen Communist University of the Toilers of China
Acorn Computers	Acorn Computers Ltd.
Nussli Group	Nüssli
Administrador de Infraestructuras Ferroviarias	ADIF
Nobina	Concordia Bus
Affiliated Computer Services	ACS
Otsuka Pharmaceutical	Otsuka
Brown-Forman	Brown-Forman Corporation
PZL Mielec	PZL-Mielec
PZL Mielec	WSK-Mielec
PZL Mielec	WSK PZL-Mielec
PZL Mielec	PZL WP-2
PZL Mielec	Airframe Factory No.2
ABC Development Corporation	Associated Broadcasting Company
University of Canterbury	Te Whare Wānanga o Waitaha
Triumph	Triumph-Werke Nürnberg AG
Triumph	TWN
University of Illinois at Urbana-Champaign	University of Illinois at Urbana–Champaign
University of Illinois at Urbana-Champaign	UIUC
University of Illinois at Urbana-Champaign	U of I
University of Illinois at Urbana-Champaign	UofI
Lag	Lag
Lag	Lag Guitars
Lag	Lâg Guitars
Kaiserliche Werft Kiel	KWK
Verizon	Verizon Communications Inc.
Allmovie	All Movie Guide
Allmovie	AllRovi
Sappi	South African Pulp and Paper Industries
CJ E&M Music and Live	Mnet Media
Gravity Corporation	GRAVITY Co., Ltd.
University of Oslo	Universitetet i Oslo
University of Oslo	UiO
University of Oslo	Universitas Osloensis
University of Oslo	Universitas Regia Fredericiana
Tesco	Tesco PLC
Bank of America	Bank of America Corporation
Bank of America	BoA
PricewaterhouseCoopers	PwC
Hyundai Engineering and Construction	Hyundai Engineering & Construction
Virgin Group	Virgin Group Ltd.
Kyushu Railway Company	JR Kyushu
Kyushu Railway Company	九州旅客鉄道
Kyushu Railway Company	JR九州
San José State University	San Jose State University
East Japan Railway Company	JR East
East Japan Railway Company	東日本旅客鉄道
East Japan Railway Company	JR東日本
BNP Paribas	BNP Paribas S.A.
DreamWorks Animation	DreamWorks Animation SKG, Inc.
DreamWorks Animation	DWA
University of South Florida	USF
Blackberry	Research In Motion Limited
Blackberry	RIM
Blackberry	Research in Motion
Blackberry	Blackberry Limited
Blackberry	Blackberry Ltd
University of Maryland	University of Maryland, College Park
University of Geneva	Geneva University
DHL Global Forwarding	Danzas
Bristol Siddeley	Bristol Siddeley Engines Ltd
Bristol Siddeley	BSEL
Emirates Telecommunications Corporation	Etisalat
SIAI-Marchetti	Società Idrovolanti Alta Italia
SIAI-Marchetti	Savoia-Marchetti
SIAI-Marchetti	Northern Italy Seaplane Company
SIAI-Marchetti	SIAI
Norddeutsche Landesbank	Nord/LB
Ford of Europe	Ford Europe
Herbalife	Herbalife International
Tokyo Institute of Technology	Tokyo Tech
Tokyo Institute of Technology	Tokodai
Tokyo Institute of Technology	TIT
University of Genoa	Università di Genova
S.P.A.	SPA
S.P.A.	Società Piemontese Automobili
University of Split	Split University
Mountain Equipment Co-op	MEC
Apollo Global Management	Apollo Global Management, LLC
S3 Graphics	S3 Graphics, Ltd
Armani	Giorgio Armani SpA
Royal Mail	Royal Mail plc
Vultee	Vultee Aircraft Corporation
Vultee	Airplane Development Corporation
Vultee	Aviation Manufacturing Corporation
University of Alberta	Ualberta
Vought	Lewis and Vought Corporation
Vought	Chance Vought
Vought	Vought Sikorsky
Vought	LTV Aerospace
Vought	Ling-Temco-Vought
Vought	Vought Aircraft Companies
Vought	Vought Aircraft Industries
Ukrainian Free University	Ukrainische Freie Universität
Wind Telecomunicazioni SpA	Wind
Wind Telecomunicazioni SpA	Wind Italy
Sky Deutschland AG	Sky
Vilnius University	Vilniaus Universitetas
Vilnius University	Universitas Vilnensis
Association of Language Testers in Europe	ALTE
Association of Language Testers in Europe	Association of Language Testers of Europe
Arizona State University	ASU
Arizona State University	Arizona State
National Public Radio	NPR
University of Königsberg	Albertina
University of Königsberg	Albertus-Universität Königsberg
Rolls-Royce	Rolls-Royce Limited
Rolls-Royce	Rolls Royce Limited
Fellner & Helmer	Fellner and Helmer
InnoLux Corporation	Chimei Innolux Corporation
InnoLux Corporation	Innolux
Seagate Technology	Seagate Technology PLC
Marks & Spencer	Marks and Spencer
Marks & Spencer	M&S
Marks & Spencer	Marks & Sparks
Zebra	Zebra Pen Corporation
Shiseido	Shiseido Company, Limited
Hanna-Barbera	H-B Enterprises
Hanna-Barbera	H-B Production Company
Hanna-Barbera	Hanna-Barbera Cartoons
Hanna-Barbera	Hanna-Barbera Productions, Inc.
Creative Micro Designs	CMD
Fuji Television	Fuji Television Network
University of Cape Coast	Cape Varse
University of Cape Coast	UCC
FN Herstal	Fabrique Nationale
Ruter	Ruter#
City University of New York	CUNY
Universidade Federal do Rio Grande do Sul	UFRGS
Universidade Federal do Rio Grande do Sul	Federal University of Rio Grande do Sul
Bank of China (Hong Kong)	BOCHK
University of Rijeka	Rijeka University
Avery Dennison	Avery Dennison Corporation
Aéropostale	Aero
Bad Robot Productions	Bad Robot
Bank Pekao	Bank Polska Kasa Opieki Spółka Akcyjna
Bayrak	Bayrak Radio Television Corporation
Bayrak	BRT
California State University	Cal State
California State University	CSU
University of Sheffield	Sheffield University
HAECO	Hong Kong Aircraft Engineering Company
University of Havana	UH
University of Havana	Universidad de La Habana
IntercontinentalExchange Group	ICE
House Foods	Hausu Shokuhin
Great Western Railway	GWR
Great Western Railway	the GWR
Changchun Railway Vehicles	Changchun Railway Vehicles Company Ltd.
H. J. Heinz Company	Heinz Company
H. J. Heinz Company	Heinz
University of Groningen	Rijksuniversiteit Groningen
University of Groningen	RUG
Oregon State University	OSU
University of California, Irvine	UC Irvine
University of California, Irvine	UCI
University of California, Irvine	Irvine
College of William & Mary	The College of William & Mary
ADAMA Agricultural Solutions	Makhteshim Agan Industries
Breda	Ernesto Breda Company
Breda	Società Italiana Ernesto Breda
Breda	Societa Italiana Ernesto Breda
Netflix	Netflix, Inc.
Daiwa House Industry	Daiwa House
Verizon Wireless	verizon wireless
British Steel	BSC
Crystal Dynamics	Crystal Dynamics
Seoul Broadcasting System	SBS
Borsa Italiana	Borsa Italiana S.p.A.
HSBC Bank Australia	Hongkong Bank Australia
Ubisoft Reflections	Reflections Interactive
Ubisoft Reflections	Reflections Interactive Limited
University of Grenoble	Grenoble University
Gray Matter Interactive	Xatrix Entertainment
Asociación Mexicana de Productores de Fonogramas y Videogramas	AMPROFON
Subaru Tecnica International	STi
Toppan	Toppan Printing
Toppan	凸版印刷株式会社
RapidKL Light Rail Transit	RapidKL Rail
Custom Coasters International	CCI
Montreal Light, Heat & Power	Montreal Light, Heat and Power Company
Montreal Light, Heat & Power	MLH&P
Buddy´s knife jazzedition	buddy’s knife jazzedition
Kronos Digital Entertainment	Kronos (video game company)
CIT Group	Commercial Investment Trust
CIT Group	Commercial Credit and Investment Company
CIT Group	Tyco Capital
CIT Group	Tyco Capital Corporation
CIT Group	CIT Group Incorporated
Caja Mediterráneo	Caja de Ahorros del Mediterráneo
Caja Mediterráneo	CAM
California College of the Arts	CCA
California College of the Arts	CCAC
California College of the Arts	California College of Arts and Crafts
Campagnolo	Campag
Canada Post	Royal Mail Canada
Guerrilla Cambridge	SCE Cambridge Studio
University of East Anglia	UEA
University of Vermont	UVM
Polyphony Digital	Polyphony Digital, Inc.
TAM Cargo	TAM Express
Structurae	structurae.net
Charles Darwin University	CDU
Vrije Universiteit	Free University of Amsterdam
Vrije Universiteit	VU
China State Construction Engineering Corporation	China State Construction Engineering Corp
China State Construction Engineering Corporation	CSCEC
China State Construction Engineering Corporation	China State Construction Engineering
Nitroplus	Nitro+
London and North Eastern Railway	LNER
Kader	Kader Industrial Company Limited
Kazan Aircraft Production Association	KAPO Avia
College of Arms	Herald's College
Disney Channels Worldwide	ABC Cable Networks Group
Comcast	Comcast Corporation
Comcast	Comcast Holdings
Universidade Tecnológica Federal do Paraná	UTFPR
Universidade Tecnológica Federal do Paraná	Federal Technological University of Paraná
Tech Mahindra India	Tech Mahindra Limited
The Weinstein Company	TWC
Stockholm International Peace Research Institute	SIPRI
Curtiss	Curtiss Aircraft
Curtiss	Curtiss Aeroplane Company
Curtiss	Curtiss Motor Company
Curtiss	Curtiss Aeroplane and Motor Company
Tokyo University of the Arts	Tōkyō Geijutsu Daigaku
Tokyo University of the Arts	Tokyo Geijutsu Daigaku
GAC Fiat	GAC Fiat Automobiles Co., Ltd.
Delek Group Ltd.	Delek
Democratic National Committee	DNC
Suntech Power	Suntech Power Holdings Co., Ltd.
University of Hyderabad	University of Hyderabad
University of Hyderabad	Hyderabad Central University
Turtle Rock Studios	Valve South
University of Siena	Università degli studi di Siena
University of Antioquia	UdeA
University of Antioquia	U. de A.
University of Antioquia	Universidad de Antioquia
DynCorp	DynCorp International
Will-Pemco	E.C.H. Will
Will-Pemco	Pemco
Edith Cowan University	Edith Cowan
Edith Cowan University	Edith Cowan uni
G4S	Group 4 Securicor
Université Lille Nord de France	Lille research university (France)
Université Lille Nord de France	University of Lille North of France
Université Lille Nord de France	University of Lille
Université Lille Nord de France	university Lille Nord de France
Université Lille Nord de France	university de Lille North of France
Université Lille Nord de France	Lille North of France university
Université Lille Nord de France	Lille Nord de France university
Université Lille Nord de France	universite Lille Nord de France
Université Lille Nord de France	universite de Lille Nord de France
Wharton School of the University of Pennsylvania	Wharton School
Wharton School of the University of Pennsylvania	Wharton School of Business
Wharton School of the University of Pennsylvania	Wharton
Mainichi Broadcasting System	MBS
Fryderyk Chopin University of Music	Chopin School of Music
IMG	International Management Group
University of Nebraska–Lincoln	Nebraska
University of Nebraska–Lincoln	UNL
University of Nebraska–Lincoln	NU
University of Nebraska–Lincoln	University of Nebraska at Lincoln
University of Nebraska–Lincoln	University of Nebraska-Lincoln
University of Nebraska–Lincoln	U of N Lincoln
FTSE Group	FTSE (Financial Times and Stock Exchange) International Ltd.
University of Oulu	Oulun yliopisto
University of Oulu	Universitas Ouluensis
EMI Music Japan	Toshiba EMI
EMI Music Japan	EMI Music Japan Inc.
Balmain	House of Balmain
NStigate Games	Nihilistic Software
Ocean Software	Ocean Software Ltd
Ocean Software	Ocean of America, Inc.
Ocean Software	Ocean
Pioneer Hi-Bred	DuPont Pioneer
University of Pamplona	UP
Sopwith Aviation Company	Sopwith
Geibeltbad Pirna	Geibeltbad
Orange	Orange SA
Orange	Orange S.A
Glasflügel	Glasfluegel
Glasflügel	Glass Wings
Saint Joseph's University	SJU
Moscow State University of Railway Engineering	MIIT
MTR Corporation	MTR Corporation Limited
MTR Corporation	MTRC
Höfner	Karl Höfner GmbH & Co. KG
University of Kent	University of Kent at Canterbury
University of Kent	Cantuar.
University of Western Australia	UWA
University of Western Australia	University of WA
University of Western Australia	Uni of WA
Getronics	KPN Corporate Market
Saudi Telecom Company	Saudi Telecom Group
Saudi Telecom Company	STC
Saudi Telecom Company	STC Group
Saudi Telecom Company	STC International
Sanoma	Sanoma Oyj
Sanoma	SanomaWSOY
University of Tampere	Tampereen yliopisto
University of Tampere	Universitatis Tamperensis
Homestar Runner	homestarruner.com
Homestar Runner	H*R
Homestar Runner	HSR
Homestar Runner	HstarR
Paris Dauphine University	Paris Dauphine
Paris Dauphine University	Dauphine
University of Nariño	Udenar
R. & W. Hawthorn, Leslie and Company	Hawthorn Leslie and Company
R. & W. Hawthorn, Leslie and Company	Hawthorn Leslie
R. & W. Hawthorn, Leslie and Company	Hawthorn Leslie & Co.
HSBC Bank	HSBC Bank A.Ş.
Koei Tecmo Holdings	Tecmo Koei Holdings
Koei Tecmo Holdings	Koei Tecmo
Koei Tecmo Holdings	Tecmo Koei
Institut Teknologi Bandung	Bandung Institute of Technology
Mistwalker	Mistwalker Corporation
Hayes Microcomputer Products	D.C. Hayes Associates
W. W. Grainger	W. W. Grainger, Inc.
Université du Québec à Montréal	UQAM
JX Nippon Oil & Energy	Nippon Oil
National Technical University of Athens	Athens Polytechnic
National Technical University of Athens	NTUA
Helsinki University of Technology	TKK
Helsinki University of Technology	Teknillinen korkeakoulu
Helsinki University of Technology	Aalto University School of Science and Technology
Jardine Matheson	Jardine Matheson Holdings Ltd.
Jardine Matheson	Jardines
University of Osijek	Osijek University
KaiserWerft	KaiserWerft GmBH
Kesko	Kesko Oyj
Kesko	Kesko Corporation
Maharaja Sayajirao University of Baroda	M.S.University
Maharaja Sayajirao University of Baroda	મહારાજા સયાજીરાવ વિશ્વવિદ્યાલય
Maharaja Sayajirao University of Baroda	એમ. એસ. યુનીવર્સીટી
Maharaja Sayajirao University of Baroda	કલા ભવન
Maharaja Sayajirao University of Baroda	Baroda College
Maharaja Sayajirao University of Baroda	Baroda College of Science
Toto Ltd.	Tōyō Tōki
Toto Ltd.	Toyo Toki
Toto Ltd.	TOTO
Oddworld Inhabitants	Oddworld Inhabitants Inc.
Statoil	StatoilHydro
Middle Tennessee State University	MTSU
CGI Group	CGI Group Inc.
Philip Morris International	Philip Morris International Inc.
Mississippi State University	The Mississippi State University of Agriculture and Applied Science
Hidden Path Entertainment	Hidden Path
TASMAC	Tamil Nadu State Marketing Corporation
Sinohydro Corporation	Sinohydro
Örebro University	Örebro Universitet
Vasile Goldiș Western University of Arad	Universitatea de Vest „Vasile Goldiș”
Vasile Goldiș Western University of Arad	Universitatea de Vest Vasile Goldiș
Aeronca	Aeronautical Corporation of America
Aeronca	Aeronca Aircraft Corporation
IGATE Patni	IGATE
IGATE Patni	Patni Computer Systems
Swiss Arms	SAN Swiss Arms AG
University of the Arts London	London Institute
OPPO Digital	OPPO Electronics Corp., Ltd
Shapoorji Pallonji Group	SP Group
Shapoorji Pallonji Group	SPG
Regiobahn GmbH	Regionale Bahngesellschaft Kaarst-Neuss-Düsseldorf-Erkrath-Mettmann-Wuppertal mbH
Twin City Rapid Transit Company	Twin City Rapid Transit
Twin City Rapid Transit Company	TCRT
List of 20th Century Fox movies	List of 20th Century Fox films
List of 20th Century Fox movies	list of 20th Century Fox films
Méditel	Meditel
University of Montana	UM
University of Montana	U of M
Virginia Commonwealth University	VCU
Guinness Brewery	St. James's Gate Brewery
Guinness Brewery	Grúdlann Gheata Naomh Séamuis
Ostroh Academy	National Institute "Ostroh Academy"
Universidade do Estado de Minas Gerais	UEMG
Universidade do Estado de Minas Gerais	Minas Gerais State University
Valdosta State University	VSU
Jiffy Lube	Pennzoil
Ultra Music	Ultra Records
Aalto University School of Arts, Design and Architecture	Aalto ARTS
Zurich University of Applied Sciences	ZHAW
Rover Group	The Rover Group plc
Sevmash	Sewmasch-Werft
Noge	Noge S.L.
Internet Speculative Fiction Database	ISFDB
Hijos de Rivera	Hijos de Rivera, S.A.
Hijos de Rivera	La Estrella de Galicia
Hijos de Rivera	HdR
Havok	Telekinesys Research Ltd.
O Heraldo	The Herald
King	King.com
Santa Cruz Operation	Tarantella
Santa Cruz Operation	Tarantella, Inc.
Santa Cruz Operation	SCO
Rede Bandeirantes	Band
Disney–ABC Domestic Television	ABC Syndication
Disney–ABC Domestic Television	Buena Vista Television
Disney–ABC Domestic Television	Disney Domestic Television
Universidade do Estado do Rio de Janeiro	UERJ
Universidade do Estado do Rio de Janeiro	Rio de Janeiro State University
Universidade do Estado do Rio de Janeiro	Universidade do Estado do Rio de Janeiro
American Car and Foundry Company	ACF
American Car and Foundry Company	ACF Industries LLC
Mogilev State A. Kuleshov University	Mogilev State University
B2W	B2W Companhia Digital
Compañía Sevillana de Electricidad	Sevillana
Compañía Sevillana de Electricidad	CSE
Compañía Sevillana de Electricidad	Sevillana de Electricidad
Biodegradable Packaging for Environment	BPE
Biodegradable Packaging for Environment	Biochannaoy
Bright Food	Bright Food (Group) Co., Ltd.
Central New England Railway	CNE
Duluth, Missabe and Iron Range Railway	DMIR
Duluth, Missabe and Iron Range Railway	DM&IR
Harbin	Harbin Aircraft Manufacturing Corporation
EuropaBio	The European Association for Bioindustries
Gulf+Western	Gulf and Western Industries, Inc.
Gulf+Western	Gulf and Western Industries
Metro Cammell	Metro-Cammell
Metro Cammell	Metropolitan Cammell Carriage and Wagon Company
Graham Holdings Company	The Washington Post Company
Crossley	Crossley Brothers
University of Science and Technology, Houari Boumediene	Université des sciences et de la technologie Houari-Boumediene
LJN	LJN Toys, Limited
Champagne Lanson	Lanson
Champagne Lanson	Lanson International
Champagne Lanson	Lanson Père & Fils
Antrix Corporation	Antrix
Brigham Young University Hawaii	Brigham Young University–Hawaii
Pakistan Television	Pakistan Television Corporation
Overstock.com	O.co
Overstock.com	Overstock.com, Inc.
Internet Brands	Internet Brands, Inc.
Novacaixagalicia	NCG
Novacaixagalicia	Nova Caixa Galicia
Mott MacDonald	Mott MacDonald Group
New World Resources	NWR
New World Resources	New World Resources PLC
Ogilvy	Ogilvy's
Rumpler Aircrafts	Rumpler Flugzeugwerke
Rumpler Aircrafts	Rumpler Luftfahrtzeugbau
SITA	Société Industrielle des Transports Automobiles
Scott Free Productions	Percy Main Productions
Mindtree	Mindtree Limited
University of the District of Columbia	UDC
Delhi Transport Corporation	DTC
Universidade Federal de Campina Grande	UFCG
Universidade Federal de Campina Grande	Federal University of Campina Grande
Ilbe Storehouse	Ilbe
Ilbe Storehouse	Ilbe Garage
Ilbe Storehouse	Ilbe Jeojangso
Belmond	Belmond Ltd
Belmond	Orient-Express Hotels Ltd
Baltic International Academy	Baltic Russian Institute
Komputeko	Prikomputila terminokolekto
Danylo Halytsky Lviv National Medical University	Lviv National Medical University
Moscow Technological Institute	World Technological University
National Mining University of Ukraine	NGU
Federal University of São Paulo	UNIFESP
Federal University of São Paulo	Universidade Federal de São Paulo
Aermacchi	Aeronautica Macchi
Aermacchi	Macchi
Sporveien	Sporveien Oslo
Sporveien	Kollektivtransportproduksjon
99 Cents Only Stores	Bargain Wholesale
AB Stockholms Spårvägar	SS
Aircraft Disposals Company	ADC Aircraft
Aircraft Disposals Company	Airdisco
Aircraft Disposals Company	The Imperial & Foreign Corporation
Aircraft Disposals Company	Aircraft Disposal Company
Ace Hardware	Ace Hardware Corporation
Acorn Treatment and Housing	ADAS
Acorn Treatment and Housing	Alcohol and Drug Abstinence Service
Adequacy.org	Adequacy
Aero Union	Western Air Industries
Aitken Spence	එයිට්කින් ස්පෙන්ස්
Amcol International Corporation	AMCOL International Corp.
Ammerer Bed Company	Betten Ammerer
Ammerer Bed Company	die Betten Ammerer
Ammerer Bed Company	die Firma Betten Ammerer
Angel Capital Education Foundation	Angel Resource Institute
Aries Motorsport	Aries MotorSport Ltd
Artix Entertainment	Battleon Games
Battersea Dogs and Cats Home	Battersea Dogs & Cats Home
Burnley Savings and Loans	Burnley Savings and Loans Limited
Burnley Savings and Loans	Bank on Dave!
Cats Protection	The Cat Protection League
Channel Four Television Corporation	Channel Four
Chhatrapati Shahu Ji Maharaj University	Kanpur University
Cielo	Cielo Yogurt Corporation
Cirrus Aero-Engines	Cirrus-Hermes Engineering Company
Cirrus Aero-Engines	Cirrus Engine Section
Classmate Stationery	Classmate
Clover	Clover Industries Limited
Clover	CIL
Cochlear Limited	Cochlear Americas
Computing Tabulating Recording Company	CTR
Computing Tabulating Recording Company	Computing-Tabulating-Recording Company
Courage Brewery	Courage
Daegu Broadcasting Corporation	TBC
Danka	Konica Minolta Danka Imaging
EE	Everything Everywhere Limited
El Rodeo Mexican Restaurant	El Rodeo
Electronic Frontier Finland	Effi
Esurance	JAN
Esurance	12TH
Esurance	2014
Esurance	SUN
European Commission Data Portal	A nyílt hozzáférésű adatok EU-portálja
Everyman Cinemas	Everyman Group
Everything is Terrible!	EIT
Exxon Neftegas	Exxon Neftegas Limited
